Model,Dataset,CV_Score,CV_Std,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,No Leakage,0.932542942494399,0.025858115184101475,0.8692307692307693,0.8666156034577087,0.8692307692307693,0.8678500986193295,0.9113636363636364
Logistic Regression,With G1/G2,0.9615384615384615,0.029164905554044402,0.9461538461538461,0.9455964325529543,0.9461538461538461,0.9429059829059829,0.9872727272727273
Random Forest,No Leakage,0.8901418969380133,0.023401810555491113,0.8538461538461538,0.8305224187577129,0.8538461538461538,0.835502291763737,0.8479545454545455
Random Forest,With G1/G2,0.9634241971620611,0.018610376947870204,0.9230769230769231,0.9204822954822954,0.9230769230769231,0.9213991319254476,0.9697727272727272
Support Vector Machine,No Leakage,0.9344846900672141,0.017641481887096837,0.8846153846153846,0.8823357770726191,0.8846153846153846,0.8833971458405848,0.9040909090909092
Support Vector Machine,With G1/G2,0.9711165048543691,0.025059642863170133,0.9846153846153847,0.9848901098901098,0.9846153846153847,0.9842798263850895,0.9968181818181818
